"long","lat","seal","date","local","lq"
158.9466667,-54.49333333,"b284","21-Jan-99","13:43:51","A"
155.2533333,-54.42833333,"b284","21-Jan-99","15:18:53","B"
155.84,-56.30833333,"b284","23-Jan-99","16:45:51","B"
159.385,-56.10166667,"b284","23-Jan-99","13:03:35","B"
159.965,-58.35333333,"b284","25-Jan-99","16:19:17","B"
158.8916667,-57.99,"b284","25-Jan-99","4:45:15","B"
158.0333333,-59.18333333,"b284","26-Jan-99","16:10:53","B"
165.23,-55.86666667,"b284","26-Jan-99","4:38:48","B"
160.5283333,-60.455,"b284","27-Jan-99","14:14:22","B"
159.2683333,-60.06833333,"b284","27-Jan-99","6:03:22","A"
159.2683333,-60.06833333,"b284","27-Jan-99","6:03:22","A"
159.7216667,-61.52333333,"b284","28-Jan-99","15:49:12","B"
159.735,-60.97166667,"b284","28-Jan-99","4:10:55","B"
160.3433333,-62.35666667,"b284","29-Jan-99","13:54:32","B"
160.0433333,-62.53166667,"b284","29-Jan-99","17:26:55","B"
160.0316667,-63.04166667,"b284","30-Jan-99","18:41:50","A"
159.53,-63.73166667,"b284","31-Jan-99","15:16:10","B"
162.5983333,-64.39333333,"b284","1-Feb-99","16:43:55","A"
162.0383333,-65.11833333,"b284","1-Feb-99","18:03:14","B"
161.3416667,-64.75166667,"b284","1-Feb-99","13:07:29","B"
162.6666667,-65.79666667,"b284","2-Feb-99","14:18:01","B"
162.915,-64.97333333,"b284","2-Feb-99","3:16:35","B"
162.3633333,-65.25,"b284","2-Feb-99","4:55:46","A"
161.7116667,-65.35666667,"b284","2-Feb-99","6:37:46","B"
161.08,-66.91666667,"b284","3-Feb-99","16:26:24","B"
163.1483333,-66.35666667,"b284","3-Feb-99","3:00:07","A"
161.985,-66.32333333,"b284","3-Feb-99","6:26:08","B"
164.0666667,-66.70333333,"b284","4-Feb-99","13:33:33","B"
162.89,-67.03166667,"b284","4-Feb-99","4:25:29","B"
163.63,-66.89666667,"b284","4-Feb-99","6:11:24","B"
164.1416667,-68.06666667,"b284","5-Feb-99","13:16:34","B"
164.3216667,-67.98833333,"b284","5-Feb-99","18:12:00","1"
163.9316667,-67.73333333,"b284","5-Feb-99","2:36:56","B"
164.6633333,-67.50333333,"b284","5-Feb-99","4:21:46","A"
164.8333333,-67.52166667,"b284","5-Feb-99","5:59:54","B"
157.9566667,-66.75666667,"b284","6-Feb-99","2:29:41","B"
167.4416667,-70.15666667,"b284","8-Feb-99","13:50:55","B"
167.3633333,-69.61333333,"b284","8-Feb-99","17:09:14","B"
166.9166667,-69.16666667,"b284","8-Feb-99","2:03:06","0"
166.86,-69.17833333,"b284","8-Feb-99","3:44:30","1"
166.8316667,-70.29666667,"b284","9-Feb-99","1:48:13","B"
170.0366667,-70.82166667,"b284","10-Feb-99","14:43:00","A"
171.52,-71.10333333,"b284","10-Feb-99","16:41:21","B"
170.1983333,-70.96333333,"b284","10-Feb-99","18:02:49","A"
170.7016667,-70.57666667,"b284","10-Feb-99","3:25:06","B"
170.8983333,-68.44666667,"b284","10-Feb-99","6:38:56","B"
169.8216667,-70.57833333,"b284","11-Feb-99","13:06:56","B"
166.7666667,-69.31833333,"b284","11-Feb-99","14:15:51","B"
167.4066667,-71.40666667,"b284","11-Feb-99","14:57:53","B"
170.5966667,-71.265,"b284","11-Feb-99","16:01:32","B"
169.3766667,-71.365,"b284","11-Feb-99","16:39:12","B"
168.9833333,-70.74333333,"b284","11-Feb-99","17:39:17","B"
170.825,-71.12,"b284","11-Feb-99","1:29:12","B"
170.7866667,-71.33833333,"b284","11-Feb-99","3:11:04","A"
171.4366667,-71.55,"b284","12-Feb-99","4:40:45","B"
164.0683333,-70.435,"b284","12-Feb-99","12:56:42","B"
169.2016667,-71.435,"b284","13-Feb-99","12:48:18","B"
171.9316667,-72.15333333,"b284","13-Feb-99","14:31:33","B"
172.3816667,-72.34666667,"b284","13-Feb-99","15:18:02","A"
172.2716667,-72.30166667,"b284","13-Feb-99","18:36:12","1"
172.4716667,-72.34833333,"b284","14-Feb-99","13:16:00","A"
168.7916667,-70.79166667,"b284","14-Feb-99","14:15:13","B"
171.6483333,-72.4,"b284","14-Feb-99","16:00:51","B"
172.265,-72.43,"b284","14-Feb-99","16:36:26","A"
170.0783333,-72.15666667,"b284","14-Feb-99","17:45:55","A"
175.4466667,-72.86166667,"b284","14-Feb-99","18:17:39","B"
173.04,-72.315,"b284","14-Feb-99","4:18:31","B"
172.8283333,-72.61166667,"b284","15-Feb-99","12:52:37","A"
172.8983333,-72.79333333,"b284","15-Feb-99","14:33:33","B"
172.3316667,-72.52166667,"b284","15-Feb-99","4:08:02","A"
168.3383333,-73.24666667,"b284","15-Feb-99","5:52:46","B"
172.2883333,-72.87166667,"b284","16-Feb-99","13:58:38","B"
172.825,-72.90666667,"b284","16-Feb-99","15:39:22","A"
174.3966667,-72.72833333,"b284","16-Feb-99","3:58:09","A"
174.1466667,-72.70833333,"b284","16-Feb-99","5:36:06","A"
173.2966667,-73.11166667,"b284","17-Feb-99","13:49:42","A"
174.29,-73.315,"b284","17-Feb-99","17:09:30","B"
169.61,-73.41833333,"b284","17-Feb-99","5:23:05","B"
173.5633333,-72.93166667,"b284","18-Feb-99","15:05:06","B"
174.0733333,-73.145,"b284","19-Feb-99","16:23:22","1"
175.0633333,-73.25166667,"b284","19-Feb-99","18:02:46","B"
172.7533333,-73.20333333,"b284","19-Feb-99","5:00:49","B"
175.0633333,-73.13166667,"b284","20-Feb-99","14:51:45","A"
173.2583333,-73.11166667,"b284","20-Feb-99","4:47:48","B"
173.455,-73.29666667,"b284","22-Feb-99","16:10:18","0"
164.3166667,-72.74166667,"b284","22-Feb-99","18:42:20","B"
173.1116667,-73.4,"b284","23-Feb-99","14:22:26","0"
173.0733333,-73.40666667,"b284","23-Feb-99","15:00:38","0"
173.38,-73.46333333,"b284","23-Feb-99","16:38:09","B"
176.2716667,-72.91833333,"b284","23-Feb-99","2:40:41","B"
174.7516667,-73.15833333,"b284","23-Feb-99","5:56:46","B"
172.4566667,-73.37666667,"b284","24-Feb-99","2:22:00","B"
172.9383333,-73.53666667,"b284","24-Feb-99","4:31:43","B"
173.3616667,-73.61833333,"b284","25-Feb-99","13:57:28","B"
172.6933333,-73.57833333,"b284","25-Feb-99","17:22:03","B"
173.5116667,-73.60333333,"b284","26-Feb-99","13:43:36","B"
172.7933333,-73.75,"b284","26-Feb-99","17:12:20","B"
167.825,-74.72333333,"b284","27-Feb-99","13:34:35","B"
174.0766667,-73.53666667,"b284","27-Feb-99","16:55:20","B"
173.9183333,-73.24666667,"b284","28-Feb-99","16:45:57","A"
173.4383333,-73.39,"b284","1-Mar-99","16:35:29","B"
172.1183333,-73.64166667,"b284","1-Mar-99","4:53:55","A"
173.3716667,-73.54833333,"b284","2-Mar-99","14:41:07","A"
173.2716667,-73.64333333,"b284","2-Mar-99","15:42:51","B"
176.1533333,-72.51,"b284","2-Mar-99","4:43:44","B"
175.6,-74.15666667,"b284","3-Mar-99","14:26:59","A"
172.7083333,-73.54166667,"b284","3-Mar-99","15:20:22","A"
173.0183333,-73.51,"b284","3-Mar-99","16:11:58","B"
174.265,-73.58,"b284","3-Mar-99","16:56:30","B"
172.9183333,-73.62666667,"b284","3-Mar-99","5:18:21","B"
173.4283333,-73.48833333,"b284","4-Mar-99","16:43:41","B"
173.5033333,-73.53833333,"b284","5-Mar-99","12:57:07","B"
173.2916667,-73.49666667,"b284","5-Mar-99","14:09:04","A"
173.2933333,-73.61666667,"b284","5-Mar-99","4:05:08","A"
173.325,-73.43833333,"b284","6-Mar-99","13:56:02","B"
173.7216667,-73.48166667,"b284","6-Mar-99","3:56:29","0"
175.295,-73.12833333,"b284","6-Mar-99","5:38:14","B"
173.0383333,-73.45333333,"b284","7-Mar-99","13:47:29","0"
172.475,-73.28833333,"b284","7-Mar-99","15:24:28","A"
173.7816667,-73.42166667,"b284","7-Mar-99","5:32:13","B"
173.665,-73.57,"b284","8-Mar-99","5:14:15","B"
173.2233333,-73.56333333,"b284","9-Mar-99","14:48:07","B"
173.3483333,-73.615,"b284","9-Mar-99","16:51:42","B"
173.215,-73.59666667,"b284","9-Mar-99","5:01:00","A"
173.0916667,-73.50166667,"b284","9-Mar-99","6:29:20","B"
173.51,-73.255,"b284","9-Mar-99","6:47:54","B"
171.9416667,-72.93666667,"b284","10-Mar-99","14:49:19","B"
172.9383333,-73.53833333,"b284","10-Mar-99","3:12:51","B"
173.6116667,-73.62166667,"b284","10-Mar-99","6:05:52","B"
172.1966667,-73.33166667,"b284","11-Mar-99","14:39:48","B"
172.31,-73.90333333,"b284","11-Mar-99","16:29:26","B"
173.235,-73.51333333,"b284","11-Mar-99","6:19:07","B"
173.8866667,-73.80833333,"b284","12-Mar-99","12:49:47","B"
173.0016667,-73.56666667,"b284","12-Mar-99","14:31:44","A"
171.5366667,-73.28333333,"b284","12-Mar-99","16:56:18","B"
173.3516667,-73.58666667,"b284","13-Mar-99","16:39:55","2"
173.9333333,-73.65833333,"b284","13-Mar-99","0:53:44","B"
173.1966667,-73.59166667,"b284","14-Mar-99","14:07:58","A"
172.9516667,-73.66166667,"b284","15-Mar-99","14:15:41","B"
173.1533333,-73.70166667,"b284","15-Mar-99","15:57:41","0"
174.2433333,-73.57333333,"b284","16-Mar-99","3:41:25","B"
172.6633333,-73.69833333,"b284","17-Mar-99","1:47:00","A"
172.4683333,-73.52833333,"b284","17-Mar-99","3:34:17","A"
174.0583333,-73.42833333,"b284","17-Mar-99","5:12:36","B"
173.5816667,-73.67333333,"b284","18-Mar-99","14:48:29","A"
174.0733333,-73.50666667,"b284","18-Mar-99","1:37:46","B"
173.435,-73.605,"b284","19-Mar-99","14:55:34","A"
172.8133333,-72.93,"b284","19-Mar-99","16:10:26","B"
167.13,-71.07666667,"b284","19-Mar-99","17:51:00","B"
172.3666667,-73.79333333,"b284","19-Mar-99","18:15:24","B"
175.2166667,-73.57,"b284","19-Mar-99","1:30:46","B"
173.28,-73.49333333,"b284","19-Mar-99","3:11:24","A"
172.9233333,-73.61833333,"b284","19-Mar-99","4:48:02","B"
173.5883333,-73.61333333,"b284","21-Mar-99","13:42:48","A"
177.9166667,-74.05333333,"b284","21-Mar-99","15:17:35","B"
173.6183333,-73.50166667,"b284","21-Mar-99","4:28:35","A"
176.8466667,-72.88333333,"b284","21-Mar-99","6:12:21","B"
176.2533333,-73.19833333,"b284","22-Mar-99","16:07:07","B"
171.5733333,-73.86333333,"b284","22-Mar-99","4:21:26","0"
168.33,-74.525,"b284","22-Mar-99","6:01:04","B"
173.4716667,-73.01666667,"b284","23-Mar-99","14:41:03","B"
179.2466667,-72.64333333,"b284","23-Mar-99","15:56:18","B"
173.9816667,-73.62666667,"b284","23-Mar-99","16:18:30","A"
173.8366667,-73.42666667,"b284","23-Mar-99","2:25:13","B"
171.1283333,-73.90166667,"b284","23-Mar-99","5:49:12","B"
175.7733333,-73.47333333,"b284","24-Mar-99","15:35:16","B"
174.6633333,-73.12833333,"b284","24-Mar-99","17:16:55","B"
174.5333333,-73.44666667,"b284","24-Mar-99","17:16:55","A"
172.215,-73.49333333,"b284","24-Mar-99","3:50:48","B"
174.3883333,-73.69666667,"b284","24-Mar-99","5:54:49","B"
174.7733333,-73.07666667,"b284","25-Mar-99","17:05:57","B"
177.6516667,-72.37166667,"b284","26-Mar-99","3:36:23","B"
175.0533333,-72.94,"b284","28-Mar-99","4:49:39","A"
174.495,-72.89333333,"b284","29-Mar-99","2:55:16","A"
174.8983333,-72.02333333,"b284","31-Mar-99","13:21:57","A"
174.9616667,-71.86833333,"b284","31-Mar-99","16:39:55","A"
175.5983333,-72.16,"b284","31-Mar-99","2:32:45","A"
176.9133333,-71.81666667,"b284","31-Mar-99","6:46:46","B"
175.4716667,-71.51833333,"b284","1-Apr-99","14:06:34","A"
175.1216667,-71.30833333,"b284","1-Apr-99","17:28:28","B"
174.6016667,-71.14666667,"b284","2-Apr-99","14:17:37","A"
176.5616667,-70.94333333,"b284","2-Apr-99","15:51:16","B"
172.865,-70.74333333,"b284","3-Apr-99","17:07:05","B"
174.3383333,-70.87833333,"b284","3-Apr-99","2:01:15","B"
173.3283333,-71.045,"b284","3-Apr-99","5:31:20","A"
172.8766667,-70.54666667,"b284","4-Apr-99","15:13:23","A"
173.3966667,-69.49,"b284","6-Apr-99","14:47:48","B"
173.385,-69.71666667,"b284","6-Apr-99","16:08:19","B"
173.8233333,-69.79833333,"b284","6-Apr-99","6:30:14","B"
171.5516667,-68.94666667,"b284","8-Apr-99","17:03:36","B"
172.5133333,-69.13666667,"b284","8-Apr-99","2:45:09","A"
172.5933333,-69.10666667,"b284","9-Apr-99","4:12:32","B"
169.3,-68.575,"b284","10-Apr-99","14:38:26","B"
168.0716667,-67.985,"b284","10-Apr-99","17:26:49","B"
167.8966667,-68.01666667,"b284","11-Apr-99","13:54:37","B"
168.0966667,-67.92666667,"b284","11-Apr-99","3:55:34","A"
166.7083333,-67.925,"b284","13-Apr-99","13:36:42","0"
167.4733333,-67.99833333,"b284","13-Apr-99","3:28:12","B"
166.4566667,-67.98333333,"b284","14-Apr-99","13:26:05","0"
167.3333333,-67.74666667,"b284","14-Apr-99","3:22:12","A"
167.0516667,-67.65166667,"b284","15-Apr-99","4:53:09","A"
165.0983333,-67.65333333,"b284","16-Apr-99","13:02:32","0"
164.9783333,-67.51333333,"b284","16-Apr-99","17:27:43","B"
164.1666667,-67.49333333,"b284","17-Apr-99","13:51:46","B"
164.4583333,-67.31333333,"b284","17-Apr-99","17:05:37","2"
164.4166667,-67.30833333,"b284","17-Apr-99","18:46:37","1"
164.7933333,-67.78333333,"b284","18-Apr-99","17:42:52","A"
161.5966667,-67.07833333,"b284","19-Apr-99","14:02:59","B"
165.4416667,-67.41166667,"b284","19-Apr-99","14:41:15","A"
164.7866667,-67.74,"b284","19-Apr-99","5:48:39","0"
164.6716667,-67.66166667,"b284","20-Apr-99","15:58:09","B"
163.9883333,-67.24666667,"b284","21-Apr-99","17:18:32","B"
164.5883333,-67.22333333,"b284","22-Apr-99","16:52:00","0"
154.7683333,-66.88666667,"b284","22-Apr-99","18:29:48","B"
164.3516667,-67.34333333,"b284","23-Apr-99","13:22:25","A"
164.0366667,-67.28333333,"b284","23-Apr-99","16:44:54","A"
166.2633333,-67.34,"b284","23-Apr-99","4:59:21","B"
164.5383333,-67.37,"b284","24-Apr-99","16:11:25","A"
168.8033333,-65.60166667,"b284","24-Apr-99","4:55:22","B"
164.5933333,-67.02166667,"b284","25-Apr-99","14:08:21","0"
164.2783333,-67.27666667,"b284","25-Apr-99","17:28:07","2"
164.2133333,-67.23166667,"b284","26-Apr-99","15:27:42","1"
164.1533333,-67.27333333,"b284","26-Apr-99","16:06:21","1"
164.2883333,-67.24833333,"b284","26-Apr-99","17:09:04","2"
164.2566667,-67.26833333,"b284","26-Apr-99","17:53:00","0"
164.22,-67.24833333,"b284","26-Apr-99","18:47:49","1"
162.9,-67.585,"b284","26-Apr-99","6:07:58","B"
164.0616667,-67.295,"b284","27-Apr-99","15:59:59","A"
164.32,-67.21166667,"b284","27-Apr-99","4:18:43","A"
165.2216667,-67.08166667,"b284","28-Apr-99","13:04:15","B"
163.37,-66.96333333,"b284","28-Apr-99","17:29:14","B"
166.4766667,-68.15666667,"b284","28-Apr-99","18:04:15","B"
164.4783333,-67.24166667,"b284","30-Apr-99","3:44:39","1"
164.8166667,-67.08666667,"b284","2-May-99","16:31:32","B"
164.7566667,-67.16666667,"b284","2-May-99","18:13:19","A"
169.5866667,-66.55333333,"b284","2-May-99","3:25:00","B"
164.6716667,-67.46333333,"b284","2-May-99","6:35:12","B"
164.4066667,-67.26666667,"b284","3-May-99","12:57:33","A"
164.8233333,-67.26833333,"b284","4-May-99","17:30:29","A"
164.3783333,-67.25833333,"b284","8-May-99","17:20:53","B"
164.4016667,-67.29666667,"b284","9-May-99","14:03:22","B"
164.605,-67.56833333,"b284","10-May-99","17:01:32","B"
164.6283333,-67.12666667,"b284","10-May-99","5:13:48","A"
164.585,-67.33,"b284","11-May-99","16:45:11","A"
164.43,-67.145,"b284","12-May-99","14:35:21","1"
164.435,-67.19333333,"b284","12-May-99","12:57:43","A"
162.6383333,-66.64166667,"b284","13-May-99","17:26:57","B"
164.5416667,-67.29833333,"b284","13-May-99","13:00:19","0"
157.3816667,-66.67166667,"b284","14-May-99","14:23:07","B"
164.3766667,-66.98666667,"b284","14-May-99","15:27:29","B"
164.24,-67.25333333,"b284","14-May-99","16:08:05","A"
165.3333333,-66.87166667,"b284","14-May-99","4:30:38","A"
167.7616667,-66.31666667,"b284","14-May-99","6:06:17","B"
164.4316667,-67.41166667,"b284","16-May-99","14:06:00","1"
163.6933333,-67.465,"b284","16-May-99","4:00:48","B"
163.1283333,-66.35833333,"b284","19-May-99","15:15:59","B"
163.35,-66.15666667,"b284","20-May-99","16:33:00","B"
162.8816667,-66.91833333,"b284","20-May-99","4:59:14","B"
164.4,-65.93166667,"b284","21-May-99","14:34:44","B"
163.9783333,-65.68166667,"b284","22-May-99","16:16:15","B"
162.9366667,-65.515,"b284","23-May-99","6:08:36","B"
162.7033333,-63.92166667,"b284","25-May-99","18:00:55","B"
162.765,-63.485,"b284","26-May-99","13:48:40","B"
162.8933333,-63.98833333,"b284","26-May-99","3:52:27","B"
164.3666667,-63.61833333,"b284","26-May-99","5:35:25","B"
162.9,-63.22333333,"b284","27-May-99","13:42:11","B"
162.585,-62.77333333,"b284","27-May-99","16:58:26","B"
161.6216667,-63.50166667,"b284","27-May-99","5:20:51","B"
162.2216667,-62.71,"b284","29-May-99","4:55:03","B"
162.3916667,-61.66,"b284","30-May-99","4:45:09","B"
162.1216667,-61.37666667,"b284","30-May-99","6:31:56","B"
162.0183333,-60.40166667,"b284","31-May-99","14:34:58","B"
160.02,-58.97333333,"b284","2-Jun-99","17:36:15","A"
161.115,-59.26333333,"b284","2-Jun-99","18:26:34","B"
160.4533333,-58.93333333,"b284","3-Jun-99","13:10:26","B"
159.1433333,-57.05166667,"b284","5-Jun-99","13:43:35","0"
159.5283333,-57.62666667,"b284","5-Jun-99","15:46:24","B"
158.065,-56.46,"b284","6-Jun-99","18:29:17","B"
159.8183333,-56.61166667,"b284","6-Jun-99","5:16:34","A"
158.7966667,-55.68333333,"b284","7-Jun-99","14:52:30","B"
158.575,-55.35,"b284","8-Jun-99","4:48:59","B"
158.8633333,-54.57333333,"b284","9-Jun-99","14:34:22","2"
158.6466667,-54.82166667,"b290","30-Jan-99","17:04:42","A"
159.3416667,-54.37833333,"b290","30-Jan-99","5:30:59","0"
158.76,-54.475,"b290","30-Jan-99","8:50:55","A"
157.98,-55.31166667,"b290","31-Jan-99","8:26:28","B"
156.715,-56.305,"b290","1-Feb-99","19:40:07","B"
156.9216667,-56.24,"b290","1-Feb-99","8:05:39","A"
156.5216667,-57.27666667,"b290","2-Feb-99","16:32:03","B"
156.2683333,-57.2,"b290","2-Feb-99","19:18:54","B"
156.4583333,-57.54333333,"b290","3-Feb-99","6:29:56","B"
154.4716667,-58.75833333,"b290","4-Feb-99","16:08:17","B"
154.9083333,-59.02833333,"b290","4-Feb-99","17:53:32","B"
155.7766667,-58.20166667,"b290","4-Feb-99","6:18:52","B"
155.2233333,-58.46333333,"b290","4-Feb-99","8:43:44","A"
153.7716667,-59.72333333,"b290","5-Feb-99","16:35:10","B"
153.3533333,-59.78166667,"b290","5-Feb-99","17:43:07","A"
153.9116667,-59.81666667,"b290","5-Feb-99","19:50:18","A"
153.3933333,-59.28166667,"b290","5-Feb-99","4:25:44","A"
154.0216667,-59.31333333,"b290","5-Feb-99","8:18:02","B"
153.3383333,-60.15333333,"b290","6-Feb-99","7:58:54","0"
150.0683333,-63.01333333,"b290","8-Feb-99","18:51:51","B"
151.4816667,-61.97666667,"b290","8-Feb-99","3:43:27","B"
149.3933333,-64.53666667,"b290","10-Feb-99","16:24:43","B"
148.8616667,-64.15833333,"b290","10-Feb-99","16:44:01","B"
149.5633333,-64.36333333,"b290","10-Feb-99","19:38:57","B"
148.2733333,-65.34833333,"b290","11-Feb-99","19:19:36","B"
148.1666667,-65.37666667,"b290","11-Feb-99","21:00:13","A"
149.13,-64.785,"b290","11-Feb-99","4:56:10","A"
147.9566667,-65.095,"b290","11-Feb-99","9:23:11","A"
148.2566667,-65.95833333,"b290","12-Feb-99","16:21:09","A"
147.6116667,-66.25166667,"b290","14-Feb-99","4:17:45","B"
148.2333333,-66.16666667,"b290","14-Feb-99","9:20:21","A"
147.2666667,-66.97666667,"b290","15-Feb-99","17:33:39","B"
147.1533333,-66.87333333,"b290","15-Feb-99","19:30:26","A"
147.3466667,-66.635,"b290","15-Feb-99","5:51:19","0"
147.5066667,-66.725,"b290","15-Feb-99","7:31:00","A"
147.3633333,-67.28666667,"b290","16-Feb-99","17:32:02","0"
146.815,-67.13,"b290","17-Feb-99","5:24:18","B"
148.9683333,-66.68166667,"b290","17-Feb-99","7:05:23","B"
147.6933333,-67.55333333,"b290","18-Feb-99","16:56:02","B"
147.48,-67.60166667,"b290","18-Feb-99","20:05:33","B"
146.77,-67.30666667,"b290","20-Feb-99","18:20:27","B"
146.7783333,-66.74666667,"b290","20-Feb-99","20:59:01","B"
147.7516667,-67.04166667,"b290","21-Feb-99","18:56:35","0"
147.5133333,-67.01166667,"b290","21-Feb-99","8:06:50","B"
147.625,-66.95,"b290","22-Feb-99","18:37:52","A"
146.3766667,-66.55333333,"b290","23-Feb-99","18:12:02","B"
146.79,-67.05333333,"b290","23-Feb-99","4:14:54","B"
147.755,-67.06333333,"b290","23-Feb-99","8:23:09","B"
147.5566667,-67.28,"b290","25-Feb-99","17:36:34","B"
147.7133333,-66.78166667,"b290","25-Feb-99","5:39:06","B"
147.8083333,-66.17166667,"b290","26-Feb-99","7:07:28","B"
146.1166667,-66.02166667,"b290","27-Feb-99","17:00:55","B"
146.4266667,-66.26333333,"b290","28-Feb-99","16:43:01","A"
144.2633333,-66.21,"b290","1-Mar-99","16:34:39","B"
144.6533333,-65.98666667,"b290","1-Mar-99","17:41:35","B"
145.735,-66.13666667,"b290","1-Mar-99","19:19:24","B"
144.3966667,-66.225,"b290","1-Mar-99","21:05:30","B"
144.2916667,-66.35666667,"b290","1-Mar-99","4:51:43","B"
144.1466667,-65.995,"b290","3-Mar-99","17:52:34","B"
144.6866667,-65.895,"b290","3-Mar-99","8:43:48","A"
144.5666667,-66.00333333,"b290","4-Mar-99","17:41:07","A"
144.615,-66.035,"b290","4-Mar-99","19:56:47","A"
144.4066667,-65.96333333,"b290","4-Mar-99","4:22:49","B"
144.9433333,-66.02166667,"b290","4-Mar-99","5:59:19","B"
144.9,-66.09333333,"b290","5-Mar-99","17:56:45","A"
144.5466667,-66.01333333,"b290","5-Mar-99","19:36:09","A"
144.9266667,-66.015,"b290","5-Mar-99","21:13:17","A"
144.2283333,-66.25166667,"b290","5-Mar-99","7:31:11","B"
144.865,-66.32166667,"b290","6-Mar-99","7:16:18","B"
144.7316667,-66.18333333,"b290","6-Mar-99","9:17:22","B"
144.7966667,-66.35333333,"b290","7-Mar-99","8:49:18","A"
144.7416667,-66.08666667,"b290","8-Mar-99","16:58:26","0"
135.9916667,-66.94833333,"b290","8-Mar-99","6:54:23","B"
144.23,-66.51333333,"b290","8-Mar-99","8:38:54","B"
145.2166667,-66.36333333,"b290","9-Mar-99","16:30:29","B"
147.8766667,-67.23166667,"b290","9-Mar-99","19:49:12","B"
144.1933333,-65.96,"b290","10-Mar-99","17:45:58","0"
144.0283333,-65.90833333,"b290","10-Mar-99","19:23:24","B"
143.3733333,-65.775,"b290","10-Mar-99","21:06:19","0"
143.9366667,-66.205,"b290","10-Mar-99","4:52:45","B"
144.0183333,-66.085,"b290","10-Mar-99","9:28:20","0"
143.4166667,-65.82166667,"b290","11-Mar-99","18:04:26","B"
143.5116667,-65.82,"b290","11-Mar-99","19:01:51","B"
142.5883333,-65.70666667,"b290","12-Mar-99","17:51:16","A"
141.9916667,-65.905,"b290","13-Mar-99","7:42:19","A"
141.805,-66.15333333,"b290","14-Mar-99","15:51:19","B"
140.3416667,-65.77166667,"b290","14-Mar-99","17:32:01","B"
140.4366667,-65.61833333,"b290","15-Mar-99","15:37:07","A"
140.015,-65.64166667,"b290","15-Mar-99","19:10:27","B"
140.1666667,-65.79833333,"b290","16-Mar-99","17:11:27","B"
139.385,-65.68333333,"b290","16-Mar-99","8:51:42","A"
139.9233333,-65.71333333,"b290","17-Mar-99","6:54:15","B"
138.955,-65.635,"b290","17-Mar-99","8:37:15","A"
138.3166667,-65.82166667,"b290","18-Mar-99","6:50:45","B"
139.1016667,-65.905,"b290","19-Mar-99","16:09:40","B"
138.5933333,-65.70166667,"b290","19-Mar-99","6:30:49","B"
138.9,-65.72333333,"b290","19-Mar-99","8:14:43","A"
139.6016667,-65.76333333,"b290","20-Mar-99","16:21:16","B"
139.5416667,-65.765,"b290","20-Mar-99","18:03:40","B"
140.1216667,-65.63833333,"b290","21-Mar-99","16:11:27","A"
